embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-MiniLM-L6-v2,11,Rumor on Social Media,456,,14.750918,6.009168,0.31579095125198364,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902, 1.0)","T11
0.32",True
all-MiniLM-L6-v2,12,Crowdsourced Analysis,4,,12.971524,8.005154,0.22057777643203735,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058, 1.0)","T12
0.22",True
all-MiniLM-L6-v2,12,Crowdsourced Analysis,5,,13.104248,8.131828,0.22057777643203735,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058, 1.0)","T12
0.22",True
all-MiniLM-L6-v2,12,Crowdsourced Analysis,6,,12.859504,8.21032,0.22057777643203735,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058, 1.0)","T12
0.22",True
all-MiniLM-L6-v2,12,Crowdsourced Analysis,11,,13.037961,7.975996,0.22057777643203735,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058, 1.0)","T12
0.22",True
all-MiniLM-L6-v2,12,Crowdsourced Analysis,221,,12.924489,8.030704,0.22057777643203735,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058, 1.0)","T12
0.22",True
all-MiniLM-L6-v2,12,Crowdsourced Analysis,302,,13.107541,7.8366995,0.22057777643203735,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058, 1.0)","T12
0.22",True
all-MiniLM-L6-v2,12,Crowdsourced Analysis,323,,13.054835,8.0874605,0.22057777643203735,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058, 1.0)","T12
0.22",True
all-MiniLM-L6-v2,12,Crowdsourced Analysis,347,,13.010037,8.030382,0.22057777643203735,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058, 1.0)","T12
0.22",True
all-MiniLM-L6-v2,12,Crowdsourced Analysis,447,,12.71471,7.89301,0.22057777643203735,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058, 1.0)","T12
0.22",True
all-MiniLM-L6-v2,12,Crowdsourced Analysis,477,,13.125881,8.181985,0.22057777643203735,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058, 1.0)","T12
0.22",True
all-MiniLM-L6-v2,14,Journalism & Media Studies,7,,15.49471,7.6779275,0.26787781715393066,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451, 1.0)","T14
0.27",True
all-MiniLM-L6-v2,14,Journalism & Media Studies,10,,15.317817,7.530173,0.26787781715393066,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451, 1.0)","T14
0.27",True
all-MiniLM-L6-v2,14,Journalism & Media Studies,154,,15.517632,7.7988324,0.26787781715393066,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451, 1.0)","T14
0.27",True
